year,risk_category,risk_label,term,term_source,exact_mentions,jieba_token_count,jieba_weight
2022,profitability,盈利风险,毛利率,seed,16,16,0.0
2022,profitability,盈利风险,净利润,seed,70,70,0.004113
2022,profitability,盈利风险,利润,seed,207,120,0.006675
2022,profitability,盈利风险,成本,seed,237,234,0.013276
2022,profitability,盈利风险,亏损,seed,31,31,0.0
2022,profitability,盈利风险,下滑,seed,2,2,0.0
2022,profitability,盈利风险,价格波动,seed,2,2,0.0
2022,profitability,盈利风险,费用,seed,195,186,0.011468
2022,profitability,盈利风险,分配,word2vec,126,120,0.007412
2022,profitability,盈利风险,盈利,word2vec,12,11,0.0
2022,profitability,盈利风险,毛利,word2vec,16,0,0.0
2022,profitability,盈利风险,商品价格,word2vec,1,0,0.0
2022,profitability,盈利风险,成本核算,word2vec,3,3,0.0
2022,profitability,盈利风险,分配比例,word2vec,2,2,0.0
2022,profitability,盈利风险,利润表,word2vec,17,17,0.0
2022,project,项目风险,项目,seed,442,442,0.02118
2022,project,项目风险,工期,seed,3,2,0.0
2022,project,项目风险,质量,seed,74,74,0.004208
2022,project,项目风险,安全,seed,64,40,0.002177
2022,project,项目风险,分包,seed,8,8,0.0
2022,project,项目风险,索赔,seed,9,9,0.0
2022,project,项目风险,PPP,seed,36,0,0.0
2022,project,项目风险,履约,seed,53,53,0.005035
2022,project,项目风险,进度,word2vec,24,21,0.0
2022,project,项目风险,奖励,word2vec,4,4,0.0
2022,project,项目风险,安全隐患,word2vec,2,2,0.0
2022,compliance,合规风险,诉讼,seed,18,18,0.0
2022,compliance,合规风险,仲裁,seed,3,3,0.0
2022,compliance,合规风险,处罚,seed,10,10,0.0
2022,compliance,合规风险,执行,seed,93,91,0.004964
2022,compliance,合规风险,合规,seed,28,28,0.002404
2022,compliance,合规风险,环保,seed,38,38,0.002467
2022,compliance,合规风险,安全生产,seed,21,21,0.002464
2022,compliance,合规风险,纠纷,seed,6,6,0.0
2022,compliance,合规风险,未决,word2vec,7,7,0.0
2022,compliance,合规风险,立案,word2vec,1,1,0.0
2022,compliance,合规风险,整改,word2vec,4,4,0.0
2022,compliance,合规风险,判决,word2vec,4,4,0.0
2022,compliance,合规风险,败诉,word2vec,2,2,0.0
2022,compliance,合规风险,管理体系,word2vec,10,10,0.0
2022,compliance,合规风险,操守,word2vec,1,1,0.0
2022,market,市场风险,市场,seed,108,94,0.003065
2022,market,市场风险,房地产,seed,138,138,0.007381
2022,market,市场风险,汇率,seed,23,23,0.0
2022,market,市场风险,海外,seed,34,34,0.0
2022,market,市场风险,竞争,seed,32,18,0.0
2022,market,市场风险,政策,seed,137,131,0.005818
2022,market,市场风险,投资,seed,917,788,0.030084
2022,market,市场风险,需求,seed,26,26,0.0
2022,market,市场风险,即期,word2vec,7,7,0.0
2022,market,市场风险,折算,word2vec,18,18,0.0
2022,market,市场风险,本位币,word2vec,7,7,0.0
2022,market,市场风险,无风险,word2vec,5,5,0.0
2022,market,市场风险,激烈,word2vec,1,0,0.0
2022,market,市场风险,市场占有率,word2vec,6,6,0.0
2022,market,市场风险,房地产业,word2vec,3,0,0.0
2022,market,市场风险,市场份额,word2vec,2,2,0.0
2022,market,市场风险,需求量,word2vec,0,0,0.0
2022,market,市场风险,金融市场,word2vec,1,1,0.0
2022,organizational_propagation,组织传导风险,子公司,seed,277,277,0.018649
2022,organizational_propagation,组织传导风险,担保,seed,136,135,0.009381
2022,organizational_propagation,组织传导风险,关联,seed,107,44,0.003157
2022,organizational_propagation,组织传导风险,差额补足,seed,11,11,0.0
2022,organizational_propagation,组织传导风险,集团,seed,822,0,0.0
2022,organizational_propagation,组织传导风险,控股,seed,54,54,0.003235
2022,organizational_propagation,组织传导风险,联营,seed,150,150,0.015187
2022,organizational_propagation,组织传导风险,合营,seed,127,127,0.012308
2022,organizational_propagation,组织传导风险,支付现金,word2vec,3,3,0.0
2022,organizational_propagation,组织传导风险,贷款额度,word2vec,1,1,0.0
2022,organizational_propagation,组织传导风险,关联方,word2vec,63,63,0.006013
2023,liquidity,流动性风险,现金流,seed,142,142,0.012358
2023,liquidity,流动性风险,资金,seed,135,130,0.005935
2023,liquidity,流动性风险,回款,seed,1,1,0.0
2023,liquidity,流动性风险,流动性,seed,18,18,0.0
2023,liquidity,流动性风险,短期债务,seed,0,0,0.0
2023,liquidity,流动性风险,融资,seed,321,147,0.008749
2023,liquidity,流动性风险,筹资,seed,23,22,0.0
2023,liquidity,流动性风险,到期,seed,93,93,0.006483
2023,liquidity,流动性风险,偿付,seed,9,9,0.0
2023,liquidity,流动性风险,收支,word2vec,3,3,0.0
2023,liquidity,流动性风险,本息,word2vec,0,0,0.0
2023,liquidity,流动性风险,库存现金,word2vec,4,4,0.0
2023,liquidity,流动性风险,现金结算,word2vec,1,1,0.0
2023,liquidity,流动性风险,现金额,word2vec,1,1,0.0
2023,liquidity,流动性风险,现金,word2vec,336,177,0.012208
2023,liquidity,流动性风险,自筹资金,word2vec,1,1,0.0
2023,liquidity,流动性风险,流动资金,word2vec,2,2,0.0
2023,liquidity,流动性风险,流动,word2vec,156,66,0.004489
2023,solvency,偿债风险,资产负债率,seed,8,8,0.0
2023,solvency,偿债风险,负债,seed,347,281,0.022435
2023,solvency,偿债风险,债券,seed,315,315,0.018642
2023,solvency,偿债风险,借款,seed,142,137,0.011173
2023,solvency,偿债风险,利息,seed,124,121,0.008673
2023,solvency,偿债风险,利息保障倍数,seed,3,3,0.0
2023,solvency,偿债风险,债务,seed,63,56,0.003662
2023,solvency,偿债风险,兑付,seed,84,84,0.007705
2023,solvency,偿债风险,票面价格,word2vec,1,1,0.0
2023,solvency,偿债风险,浮息,word2vec,1,1,0.0
2023,solvency,偿债风险,抵押借款,word2vec,5,5,0.0
2023,solvency,偿债风险,筹措,word2vec,1,1,0.0
2023,solvency,偿债风险,定息,word2vec,1,1,0.0
2023,solvency,偿债风险,公司债,word2vec,180,39,0.002908
2023,solvency,偿债风险,债权人,word2vec,2,2,0.0
2023,solvency,偿债风险,抵押物,word2vec,6,6,0.0
2023,solvency,偿债风险,续债,word2vec,30,0,0.0
2023,solvency,偿债风险,长短期,word2vec,1,1,0.0
2023,solvency,偿债风险,清偿债务,word2vec,4,4,0.0
2023,operation,营运风险,应收账款,seed,126,126,0.015359
2023,operation,营运风险,合同资产,seed,95,95,0.011581
2023,operation,营运风险,存货,seed,46,46,0.003907
2023,operation,营运风险,周转,seed,8,8,0.0
2023,operation,营运风险,结算,seed,22,21,0.0
2023,operation,营运风险,减值,seed,184,184,0.017098
2023,operation,营运风险,账龄,seed,13,13,0.0
2023,operation,营运风险,坏账,seed,131,131,0.012162
2023,operation,营运风险,跌价,word2vec,10,10,0.0
2023,operation,营运风险,预收款,word2vec,4,4,0.0
2023,operation,营运风险,库存商品,word2vec,5,5,0.0
2023,operation,营运风险,变现,word2vec,12,12,0.0
2023,operation,营运风险,准备,word2vec,311,287,0.014507
2023,operation,营运风险,第三阶段,word2vec,5,5,0.0
2023,operation,营运风险,应收,word2vec,386,127,0.011974
2023,operation,营运风险,第二阶段,word2vec,4,4,0.0
2023,operation,营运风险,第一阶段,word2vec,6,6,0.0
2023,operation,营运风险,应收款,word2vec,133,133,0.013322
2023,operation,营运风险,现金结算,word2vec,1,1,0.0
2023,operation,营运风险,预收,word2vec,13,9,0.0
2023,profitability,盈利风险,毛利率,seed,15,15,0.0
2023,profitability,盈利风险,净利润,seed,81,81,0.004946
2023,profitability,盈利风险,利润,seed,199,101,0.005837
2023,profitability,盈利风险,成本,seed,244,241,0.014206
2023,profitability,盈利风险,亏损,seed,32,32,0.002118
2023,profitability,盈利风险,下滑,seed,0,0,0.0
2023,profitability,盈利风险,价格波动,seed,1,1,0.0
2023,profitability,盈利风险,费用,seed,176,166,0.010634
2023,profitability,盈利风险,分配,word2vec,106,101,0.006482
2023,profitability,盈利风险,盈利,word2vec,14,14,0.0
2023,profitability,盈利风险,毛利,word2vec,15,0,0.0
2023,profitability,盈利风险,商品价格,word2vec,1,0,0.0
2023,profitability,盈利风险,成本核算,word2vec,3,3,0.0
2023,profitability,盈利风险,分配比例,word2vec,2,2,0.0
2023,profitability,盈利风险,利润表,word2vec,16,16,0.0
2023,project,项目风险,项目,seed,434,433,0.021559
2023,project,项目风险,工期,seed,4,3,0.0
2023,project,项目风险,质量,seed,93,93,0.005495
2023,project,项目风险,安全,seed,56,41,0.002318
2023,project,项目风险,分包,seed,6,6,0.0
2023,project,项目风险,索赔,seed,9,9,0.0
2023,project,项目风险,PPP,seed,33,0,0.0
2023,project,项目风险,履约,seed,45,45,0.004442
2023,project,项目风险,进度,word2vec,24,21,0.0
2023,project,项目风险,奖励,word2vec,3,3,0.0
2023,project,项目风险,安全隐患,word2vec,1,1,0.0
2023,compliance,合规风险,诉讼,seed,18,18,0.0
2023,compliance,合规风险,仲裁,seed,3,3,0.0
2023,compliance,合规风险,处罚,seed,10,10,0.0
2023,compliance,合规风险,执行,seed,92,92,0.005214
2023,compliance,合规风险,合规,seed,15,15,0.0
2023,compliance,合规风险,环保,seed,30,30,0.0
2023,compliance,合规风险,安全生产,seed,13,13,0.0
2023,compliance,合规风险,纠纷,seed,6,6,0.0
2023,compliance,合规风险,未决,word2vec,7,7,0.0
2023,compliance,合规风险,立案,word2vec,1,1,0.0
2023,compliance,合规风险,整改,word2vec,10,10,0.0
2023,compliance,合规风险,判决,word2vec,4,4,0.0
2023,compliance,合规风险,败诉,word2vec,2,2,0.0
2023,compliance,合规风险,管理体系,word2vec,10,10,0.0
2023,compliance,合规风险,操守,word2vec,1,1,0.0
2023,market,市场风险,市场,seed,96,89,0.003015
2023,market,市场风险,房地产,seed,139,137,0.007614
2023,market,市场风险,汇率,seed,26,26,0.0
2023,market,市场风险,海外,seed,31,31,0.0
2023,market,市场风险,竞争,seed,34,19,0.0
2023,market,市场风险,政策,seed,121,118,0.005445
2023,market,市场风险,投资,seed,908,789,0.031298
2023,market,市场风险,需求,seed,26,25,0.0
2023,market,市场风险,即期,word2vec,7,7,0.0
